order_date,revenue,total_orders,items_sold,discounts,aov
2025-10-22,110515.13,201,450,927.5,549.8265174129353
2025-10-23,117386.88,221,479,1053.0,531.1623529411764
2025-10-24,117208.36,224,483,1003.0,523.2516071428571
2025-10-25,154144.21,292,623,1486.0,527.8911301369862
2025-10-26,155562.76,268,633,1775.0,580.4580597014925
2025-10-27,103196.11,183,409,958.0,563.9131693989071
2025-10-28,93568.66,167,392,847.0,560.291377245509
2025-10-29,100260.32,203,411,1184.0,493.8932019704434
2025-10-30,100404.71,187,400,676.5,536.9235828877006
2025-10-31,126641.03,230,525,1489.5,550.6131739130435
2025-11-01,145807.23,264,598,1356.0,552.3001136363637
2025-11-02,133801.0,253,561,1360.5,528.8577075098814
2025-11-03,90332.04,170,383,979.5,531.3649411764706
2025-11-04,86528.95,164,370,1231.5,527.6155487804878
2025-11-05,104153.19,206,434,1076.5,505.5980097087379
2025-11-06,104863.5,200,438,1020.0,524.3175
2025-11-07,109757.55,216,474,1179.0,508.13680555555555
2025-11-08,148653.78,269,624,1575.0,552.616282527881
2025-11-09,135157.07,249,574,1229.0,542.7994779116466
2025-11-10,102944.11,181,416,1008.0,568.7519889502762
2025-11-11,93612.22,168,368,925.5,557.2155952380953
2025-11-12,102331.44,201,427,1081.5,509.1116417910448
2025-11-13,93497.79,182,390,1044.5,513.7241208791208
2025-11-14,123820.75,225,508,1175.5,550.3144444444445
2025-11-15,152731.96,299,654,2041.0,510.80923076923074
2025-11-16,124124.72,238,515,1476.0,521.5324369747899
2025-11-17,96173.21,193,408,796.5,498.30678756476686
2025-11-18,98371.36,182,398,893.0,540.5019780219781
2025-11-19,130048.81,230,539,1474.0,565.4296086956522
2025-11-20,102365.56,182,410,1169.0,562.4481318681319
2025-11-21,96663.01,186,407,1190.0,519.6936021505376
2025-11-22,138527.57,267,572,1729.0,518.829850187266
2025-11-23,135979.21,247,564,1466.0,550.5231174089068
2025-11-24,104531.18,188,446,1316.5,556.016914893617
2025-11-25,97333.43,184,386,891.5,528.9860326086956
2025-11-26,115631.26,221,480,995.0,523.2183710407239
2025-11-27,106066.8,190,440,1044.0,558.2463157894737
2025-11-28,124874.43,227,515,1272.0,550.1076211453744
2025-11-29,130763.34,252,552,1383.5,518.9021428571428
2025-11-30,125181.04,218,504,1400.0,574.2249541284403
2025-12-01,101353.36,192,426,1183.0,527.8820833333333
2025-12-02,104646.16,193,439,1167.0,542.2080829015545
2025-12-03,106489.95,210,452,1221.0,507.09499999999997
2025-12-04,119878.51,219,499,1110.0,547.3904566210045
2025-12-05,123563.5,243,520,1250.5,508.4917695473251
2025-12-06,168269.36,305,693,1973.5,551.7028196721311
2025-12-07,131801.79,258,549,1314.5,510.8596511627907
2025-12-08,103247.05,196,431,1319.5,526.7706632653061
2025-12-09,107817.16,204,453,1317.0,528.5154901960784
2025-12-10,98669.05,187,399,959.5,527.6419786096257
2025-12-11,111566.72,207,470,1246.0,538.9696618357488
2025-12-12,120785.72,240,509,1616.0,503.27383333333336
2025-12-13,138916.07,264,569,1319.0,526.1972348484849
2025-12-14,144902.67,257,581,1507.5,563.8236186770429
2025-12-15,102199.67,188,432,1317.0,543.6152659574468
2025-12-16,83775.83,155,353,973.5,540.4892258064516
2025-12-17,117498.17,212,491,1447.0,554.2366509433962
2025-12-18,137774.72,245,573,1136.0,562.3457959183673
2025-12-19,126706.67,231,512,1497.0,548.5137229437229
2025-12-20,156603.32,295,655,1504.0,530.8587118644068
2025-12-21,140652.25,255,571,1465.5,551.5774509803922
2025-12-22,110756.65,205,451,1347.5,540.2763414634146
2025-12-23,109657.29,206,470,1244.5,532.3169417475727
2025-12-24,101746.6,203,434,1178.5,501.2147783251232
2025-12-25,122648.42,233,515,1312.0,526.3880686695279
2025-12-26,116050.21,217,483,1286.0,534.7935944700461
2025-12-27,148735.67,279,626,1537.0,533.1027598566309
2025-12-28,141899.13,270,597,1588.0,525.5523333333333
2025-12-29,100826.8,207,429,954.5,487.08599033816427
2025-12-30,98030.65,184,408,1147.5,532.7752717391304
2025-12-31,113278.21,213,482,1346.0,531.8225821596244
2026-01-01,104058.68,197,429,1126.5,528.2166497461928
2026-01-02,105437.34,195,442,1033.5,540.7043076923077
2026-01-03,130927.15,248,550,1247.5,527.9320564516129
2026-01-04,134405.78,239,543,1374.5,562.367280334728
2026-01-05,90596.64,163,380,1257.5,555.8076073619632
2026-01-06,82353.62,157,340,878.0,524.5453503184713
2026-01-07,87328.51,160,363,930.0,545.8031874999999
2026-01-08,97347.62,186,405,978.0,523.3743010752688
2026-01-09,94937.34,189,399,1153.5,502.31396825396826
2026-01-10,130978.59,241,542,1408.5,543.4796265560166
2026-01-11,124942.66,240,509,1297.0,520.5944166666667
2026-01-12,73651.2,148,317,846.0,497.6432432432432
2026-01-13,88861.49,162,385,1010.0,548.5277160493828
2026-01-14,95467.58,172,386,858.5,555.0440697674419
2026-01-15,83009.34,177,357,953.5,468.9793220338983
2026-01-16,109775.4,206,455,1222.0,532.8902912621359
2026-01-17,122290.38,235,517,1233.0,520.3845957446808
2026-01-18,113539.65,217,470,1157.0,523.2241935483871
2026-01-19,88332.84,173,380,1143.5,510.594450867052
2026-01-20,88816.88,171,376,882.5,519.3969590643275
2026-01-21,79846.75,163,341,755.5,489.85736196319016
2026-01-22,109281.91,218,453,1092.0,501.2931651376147
2026-01-23,117279.26,226,482,1105.5,518.9347787610619
2026-01-24,116445.02,229,496,1310.0,508.49353711790394
2026-01-25,102067.9,189,423,1012.5,540.0417989417989
2026-01-26,94091.57,181,382,719.0,519.8429281767956
2026-01-27,95404.07,178,400,889.0,535.9779213483147
2026-01-28,85647.47,169,351,991.0,506.78976331360946
2026-01-29,92979.62,187,400,818.0,497.21721925133687
2026-01-30,108358.43,194,437,811.5,558.5486082474226
2026-01-31,128391.91,222,527,1322.0,578.3419369369369
2026-02-01,138359.04,248,574,1309.5,557.8993548387097
2026-02-02,87361.07,163,373,889.0,535.9574846625767
2026-02-03,89287.29,161,373,1074.5,554.5794409937888
2026-02-04,88390.58,162,358,878.5,545.6208641975309
2026-02-05,89678.4,170,371,1002.0,527.52
2026-02-06,123263.71,212,501,936.0,581.4325943396227
2026-02-07,123346.67,237,508,1177.0,520.4500843881857
2026-02-08,111082.14,226,462,1057.5,491.51389380530975
2026-02-09,95817.77,168,403,985.0,570.343869047619
2026-02-10,106277.36,190,439,793.5,559.3545263157895
2026-02-11,90386.65,169,368,877.5,534.83224852071
2026-02-12,122847.91,218,510,1512.0,563.5225229357799
2026-02-13,110386.0,199,467,1220.5,554.7035175879397
2026-02-14,127474.21,244,529,1366.0,522.4352868852459
2026-02-15,128661.25,241,536,1525.5,533.8641078838174
2026-02-16,78789.9,152,329,552.0,518.3546052631579
2026-02-17,96745.44,172,403,821.5,562.473488372093
2026-02-18,100871.43,191,418,1332.0,528.122670157068
2026-02-19,97348.66,191,394,1007.0,509.6788481675393
2026-02-20,104527.01,193,423,1130.5,541.590725388601
2026-02-21,122582.78,217,501,1374.5,564.897603686636
2026-02-22,113621.04,218,477,1199.5,521.1974311926605
2026-02-23,103507.43,182,414,851.5,568.7221428571428
2026-02-24,75834.68,136,312,686.5,557.6079411764705
2026-02-25,85347.69,162,359,946.5,526.8375925925926
2026-02-26,100654.06,180,422,1119.0,559.1892222222222
2026-02-27,98252.72,180,411,946.0,545.8484444444445
2026-02-28,120689.12,240,522,1548.0,502.8713333333333
2026-03-01,97013.7,192,403,866.0,505.27968749999997
2026-03-02,79111.74,152,342,745.5,520.4719736842105
2026-03-03,84273.53,155,345,789.5,543.7001935483871
2026-03-04,85581.31,166,359,824.0,515.5500602409638
2026-03-05,92217.32,180,398,1124.0,512.3184444444445
2026-03-06,98947.82,214,422,1164.0,462.37299065420564
2026-03-07,126619.52,244,544,1080.0,518.9324590163934
2026-03-08,129684.99,238,540,1230.5,544.8949159663865
2026-03-09,96896.64,173,402,797.5,560.0961849710983
2026-03-10,93124.0,175,380,1060.5,532.1371428571429
2026-03-11,97221.62,184,391,858.0,528.3783695652173
2026-03-12,122398.51,213,504,1500.0,574.6408920187794
2026-03-13,112078.05,217,472,1259.0,516.4887096774194
2026-03-14,117551.19,222,486,1236.5,529.5098648648649
2026-03-15,119262.68,229,501,1276.5,520.7977292576419
2026-03-16,81776.09,169,343,888.0,483.8821893491124
2026-03-17,88079.78,170,362,924.5,518.1163529411765
2026-03-18,88782.76,179,363,1115.0,495.9930726256983
2026-03-19,100091.79,192,419,1084.5,521.31140625
2026-03-20,109838.93,200,454,1071.5,549.1946499999999
2026-03-21,131251.6,243,555,1378.5,540.1300411522634
2026-03-22,111853.36,211,459,1273.0,530.1107109004739
2026-03-23,92572.74,171,386,865.5,541.361052631579
2026-03-24,97678.89,176,403,872.5,554.9936931818182
2026-03-25,104371.58,191,414,1208.5,546.4480628272252
2026-03-26,115001.79,210,467,1164.5,547.6275714285714
2026-03-27,102850.14,205,421,997.5,501.70799999999997
2026-03-28,134104.97,252,559,1631.0,532.1625793650794
2026-03-29,133113.76,258,559,1385.0,515.9448062015505
2026-03-30,90945.76,164,372,1045.0,554.5473170731707
2026-03-31,85695.24,160,361,1105.5,535.5952500000001
2026-04-01,99941.1,185,412,888.0,540.2221621621622
2026-04-02,111187.14,195,447,987.5,570.1904615384616
2026-04-03,102597.08,188,414,798.5,545.7291489361702
2026-04-04,114919.88,219,472,1142.5,524.7483105022832
2026-04-05,114397.52,223,494,1340.0,512.9933632286995
2026-04-06,99011.86,177,403,1273.0,559.3890395480227
2026-04-07,94869.09,183,396,858.5,518.4103278688524
2026-04-08,110484.16,189,448,1017.0,584.5722751322752
2026-04-09,101563.38,197,419,1053.0,515.550152284264
2026-04-10,106038.98,198,436,1140.5,535.550404040404
2026-04-11,137947.95,251,552,1441.0,549.5934262948208
2026-04-12,130550.2,233,541,1506.5,560.3012875536481
2026-04-13,95377.8,177,377,934.0,538.8576271186441
2026-04-14,80445.75,152,331,835.0,529.2483552631579
2026-04-15,96975.38,181,411,1112.5,535.7755801104972
2026-04-16,93791.27,176,392,895.0,532.9049431818182
2026-04-17,114014.25,207,468,1035.0,550.7934782608696
2026-04-18,138910.28,254,573,1254.5,546.8908661417323
2026-04-19,108849.84,198,456,1033.5,549.7466666666667
2026-04-20,93688.88,167,375,982.5,561.01125748503
2026-04-21,72404.87,143,299,673.0,506.3277622377622
2026-04-22,92935.51,174,387,1050.0,534.1121264367815
2026-04-23,88186.89,161,368,1042.5,547.7446583850932
2026-04-24,118187.49,216,492,1290.5,547.1643055555555
2026-04-25,125417.28,240,522,1315.0,522.572
2026-04-26,135118.22,237,551,1606.0,570.1190717299578
2026-04-27,77518.88,133,318,612.5,582.8487218045113
2026-04-28,98319.4,184,409,1292.5,534.3445652173913
2026-04-29,87982.13,157,361,1067.5,560.3957324840765
2026-04-30,109691.4,197,445,1152.0,556.8091370558375
2026-05-01,90861.78,190,385,845.0,478.2198947368421
2026-05-02,121525.97,237,510,1271.0,512.767805907173
2026-05-03,125794.74,236,512,1125.5,533.028559322034
2026-05-04,99159.89,177,389,962.0,560.2253672316384
2026-05-05,83292.32,158,341,754.0,527.1665822784811
2026-05-06,97918.3,185,396,1044.5,529.2881081081081
2026-05-07,107231.25,186,442,1095.0,576.5120967741935
2026-05-08,103167.25,194,428,1235.5,531.7899484536083
2026-05-09,132161.92,242,543,1321.5,546.1236363636364
2026-05-10,130380.1,224,537,1128.5,582.0540178571429
2026-05-11,81462.18,170,350,827.0,479.189294117647
2026-05-12,93230.56,170,381,809.0,548.4150588235294
2026-05-13,106654.3,198,430,1244.5,538.6580808080809
2026-05-14,88572.79,180,389,1075.0,492.0710555555555
2026-05-15,113403.7,221,480,1306.5,513.1389140271493
2026-05-16,129615.18,235,529,1347.0,551.5539574468085
2026-05-17,129141.1,244,521,1618.5,529.2668032786886
2026-05-18,92406.84,182,392,883.5,507.7298901098901
2026-05-19,87628.28,162,358,904.5,540.9153086419753
2026-05-20,101160.18,181,425,1127.0,558.8960220994475
2026-05-21,100118.55,179,417,949.0,559.3215083798883
2026-05-22,105195.3,192,425,914.0,547.8921875
2026-05-23,140240.14,262,564,1368.0,535.2677099236641
2026-05-24,116129.51,215,474,1200.5,540.1372558139535
2026-05-25,84037.82,176,354,1104.0,477.4876136363637
2026-05-26,100120.13,183,433,1277.5,547.1045355191258
2026-05-27,113700.82,212,477,1083.5,536.3246226415094
2026-05-28,105705.09,188,434,1068.5,562.2611170212766
2026-05-29,106387.59,203,434,1018.5,524.0767980295566
2026-05-30,130881.98,260,561,1700.5,503.39223076923076
2026-05-31,119322.53,234,504,1389.5,509.9253418803419
2026-06-01,77231.71,163,327,666.0,473.81417177914113
2026-06-02,83220.92,169,354,902.0,492.4314792899408
2026-06-03,95003.49,178,388,1040.5,533.7274719101124
2026-06-04,103306.38,196,421,1163.0,527.0733673469388
2026-06-05,92593.74,182,402,915.5,508.7568131868132
2026-06-06,120184.59,234,507,1178.5,513.609358974359
2026-06-07,126243.1,224,517,1308.5,563.5852678571429
2026-06-08,90269.04,173,394,979.5,521.7863583815029
2026-06-09,77924.17,151,330,636.5,516.0541059602649
2026-06-10,90840.24,169,379,1005.5,537.5162130177515
2026-06-11,104201.49,191,428,1320.5,545.5575392670157
2026-06-12,113831.06,201,477,1129.5,566.3236815920397
2026-06-13,138081.86,241,565,1363.5,572.9537759336099
2026-06-14,121546.46,226,499,1371.5,537.8161946902655
2026-06-15,106491.55,189,418,1129.5,563.4473544973545
2026-06-16,92986.96,186,379,941.0,499.9298924731183
2026-06-17,91983.17,177,389,847.0,519.6789265536723
2026-06-18,88937.12,170,365,928.0,523.1595294117647
2026-06-19,103843.98,189,423,861.0,549.4390476190476
2026-06-20,125280.24,236,529,1175.5,530.8484745762712
2026-06-21,120265.46,222,493,1411.5,541.7363063063063
2026-06-22,70236.08,147,300,808.5,477.796462585034
2026-06-23,96714.99,177,383,1070.5,546.412372881356
2026-06-24,96865.67,174,398,977.0,556.6992528735632
2026-06-25,89096.2,176,393,1056.5,506.22840909090905
2026-06-26,110589.16,216,472,997.0,511.9868518518519
2026-06-27,139000.07,257,579,1649.0,540.8563035019456
2026-06-28,116301.69,218,479,1176.5,533.4939908256881
2026-06-29,80971.82,152,347,1104.0,532.7093421052632
2026-06-30,93163.88,163,368,882.5,571.55754601227
2026-07-01,97114.51,181,398,1000.0,536.5442541436464
2026-07-02,94346.72,172,391,1126.0,548.5274418604652
2026-07-03,107744.71,187,447,786.0,576.1749197860963
2026-07-04,117409.43,221,503,1121.5,531.2643891402714
2026-07-05,138120.16,246,573,1547.0,561.4640650406504
2026-07-06,75937.06,147,325,689.0,516.5786394557823
2026-07-07,90107.34,181,387,883.5,497.8306077348066
2026-07-08,94937.86,172,392,1053.0,551.9643023255813
2026-07-09,97688.34,187,412,1013.5,522.3975401069519
2026-07-10,115007.04,217,494,1389.5,529.9863594470046
2026-07-11,124584.62,233,523,1488.0,534.697939914163
2026-07-12,123948.31,229,504,1214.0,541.2589956331877
2026-07-13,88615.81,152,368,734.0,582.99875
2026-07-14,107082.7,192,446,1136.5,557.7223958333333
2026-07-15,87740.12,162,351,1028.0,541.6056790123456
2026-07-16,94798.75,179,411,1185.5,529.6019553072625
2026-07-17,106369.23,201,459,1276.0,529.2001492537313
2026-07-18,113556.47,221,475,1241.0,513.8301809954751
2026-07-19,131976.09,236,530,1288.5,559.220720338983
2026-07-20,81755.11,154,341,878.0,530.8773376623377
2026-07-21,95230.28,179,394,964.5,532.0127374301676
2026-07-22,81397.59,167,340,908.5,487.41071856287425
2026-07-23,96465.61,171,395,1038.0,564.1263742690059
2026-07-24,107510.06,206,446,1249.5,521.893495145631
2026-07-25,123260.05,219,500,1129.5,562.8312785388129
2026-07-26,117979.6,219,490,1038.5,538.7196347031963
2026-07-27,77577.69,150,333,996.5,517.1846
2026-07-28,94988.25,181,395,995.0,524.7969613259669
2026-07-29,85883.72,165,354,1146.0,520.507393939394
2026-07-30,96973.29,193,411,1034.5,502.4522797927461
2026-07-31,103210.82,190,423,924.0,543.2148421052632
2026-08-01,138570.62,256,578,1568.0,541.291484375
2026-08-02,144024.32,276,598,1534.0,521.8272463768117
2026-08-03,87751.66,163,372,787.0,538.3537423312883
2026-08-04,100374.24,180,415,1015.5,557.6346666666667
2026-08-05,89708.86,168,378,1183.0,533.9813095238095
2026-08-06,98004.92,192,408,1132.0,510.4422916666667
2026-08-07,121144.81,222,500,1334.0,545.6973423423424
2026-08-08,132631.3,241,550,1484.5,550.3373443983402
2026-08-09,137371.53,257,565,1170.0,534.5195719844357
2026-08-10,78523.74,159,340,1015.5,493.86
2026-08-11,110400.69,193,439,1046.5,572.0243005181347
2026-08-12,102434.86,189,428,1023.0,541.9833862433862
2026-08-13,105600.09,197,430,988.5,536.0410659898477
2026-08-14,111903.77,208,468,1195.0,537.9988942307692
2026-08-15,140761.45,267,572,1661.5,527.1964419475656
2026-08-16,111890.64,216,476,1157.5,518.0122222222222
2026-08-17,109806.91,201,458,1222.0,546.3030348258707
2026-08-18,93971.32,184,398,833.5,510.71369565217395
2026-08-19,96652.52,175,410,900.0,552.3001142857144
2026-08-20,112489.12,213,472,1207.5,528.1179342723004
2026-08-21,120776.78,218,483,1464.5,554.0219266055046
2026-08-22,126621.08,246,532,1238.5,514.719837398374
2026-08-23,123170.8,236,516,1534.5,521.9101694915254
2026-08-24,91131.08,173,373,868.5,526.7692485549134
2026-08-25,88408.96,163,368,911.0,542.3862576687117
2026-08-26,104717.04,200,448,1069.5,523.5852
2026-08-27,102269.51,217,435,1200.5,471.288064516129
2026-08-28,99028.15,192,431,1057.5,515.7716145833333
2026-08-29,134470.88,252,566,1622.5,533.6146031746032
2026-08-30,130467.24,240,552,1395.5,543.6135
